Material - Material Number (Key),Material - Text,Material - Material Group (Key),Material - Material Group (Text),SCHC 1 - Key,SCHC 1 - Text,Storage Location - Key (Not Compounded),Storage Location,Storage Type - Key,Storage Bin - Key,Storage Bin Type - Key (Not Compounded),Stock material - Blocked Stock (Key),Stock material - In Quality Insp. (Key),Stock material - Unrestr.-use Stock (Key),Total Stock,Material - CFSS UOI (Key),Material - CFSS UOI (Text),Technical Auth. Code - Key,Technical Auth. Code - TA Environment (Text),SMC - Key,SMC - Desc. Purch. Group (Key),GR Date - Key,Material - CFSS UOI Price (Key),Material - Lead IMA (Key),Material - Stock Type (Supply) (Key),Material - Lead IMA (Text),Material - Stock Classification (Key),Material - Stock Classification (Text),Material - DMC (Key),Material - DMC (Text),Material - Repair Code (Key),Material - Repair Code (Text),CC Physical Inventor - Key (Not Compounded),Last Inventory Date - Key,Quant - Key,Last Movement Date,Status,Mat Hlth Cat,Mat Hlt Sub Cat,Mat Hlth Sub Sub Cat,Tranche 1?,Storage Location Group,Last Demand Year,Assigned Year,Line Value,Price,Blocked,Quality Inspection,Lead EPM,Mark As Hazmat,Storage Medium,Size factor,Storage Bin,Count,Cubic Metres,25 CFSD Bin Structure,Transit Bin,Robot Message,Sheet
00-9202718:NSN,"RESISTOR,VOLTAGE SENSITIVE",5905,Resistors,Q,Q,3,25CFSD SERV,SHA,156L151F3,6,0.000 EA,0.000 EA,37.000 EA,22,EA,each,L33P,DGLEPM,67A,(L) DLP 6-3-6C,10/3/2013,6.71 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/23/2021,4897755,9/23/2021,Success,,,,,,,2001,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0039451:NSN,"PACKING,PREFORMED",5330,Packing/Gasket Mater,U,SLM-NON EXTENDABLE SHELF LIFE TYPE,3,25CFSD SERV,SHA,132L184B,6,0.000 EA,0.000 EA,8.000 EA,8,EA,each,A57G,DGAEPM,52W,(A) DAP 4-3-5-2-4,12/11/2013,28.50 CAD,4B,X,DISPERSED NATIONAL STOCK,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,3/28/2019,3774321,3/28/2019,Success,,,,,,,1974,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0196127:NSN,"VALVE,DIRECTIONAL F",1650,Aircraft Hydraulic,#,Not assigned,5,25CFSD Rep Res,4RP,092D207B,19,0.000 EA,0.000 EA,2.000 EA,2,EA,each,A305,DGAEPM,52N,(A) DAP 6-2-4K,5/25/2018,"18,000.00 CAD",4B,X,DISPERSED NATIONAL STOCK,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,1/16/2019,3361198,8/23/2022,Success,,,,,,,1978,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-1174118:NSN,"RECEIVER SUBASSEMBLY,RADAR",5841,Radar Eqpmt Airborne,#,Not assigned,5,25CFSD Rep Res,4RP,092C212A,19,0.000 EA,0.000 EA,8.000 EA,2,EA,each,A32K,DGAEPM,52L,(A) DAP 6-2-3B,5/9/2016,"11,939.55 CAD",4B,X,DISPERSED NATIONAL STOCK,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,1/15/2019,2391996,6/28/2016,Success,,,,,,,1978,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-1174118:NSN,"RECEIVER SUBASSEMBLY,RADAR",5841,Radar Eqpmt Airborne,#,Not assigned,5,25CFSD Rep Res,4RP,092E223B,19,0.000 EA,0.000 EA,8.000 EA,5,EA,each,A32K,DGAEPM,52L,(A) DAP 6-2-3B,5/9/2016,"11,939.55 CAD",4B,X,DISPERSED NATIONAL STOCK,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,1/16/2019,2432976,7/29/2016,Success,,,,,,,,,,,,,,,,,,,,,,
00-1174118:NSN,"RECEIVER SUBASSEMBLY,RADAR",5841,Radar Eqpmt Airborne,#,Not assigned,5,25CFSD Rep Res,4RP,140J224A,19,0.000 EA,0.000 EA,8.000 EA,1,EA,each,A32K,DGAEPM,52L,(A) DAP 6-2-3B,10/18/2021,"11,939.55 CAD",4B,X,DISPERSED NATIONAL STOCK,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,#,4990395,11/19/2021,Success,,,,,,,,,,,,,,,,,,,,,,
00-1487565:NSN,"BOOSTER,HYDRAULIC",1650,Aircraft Hydraulic,#,Not assigned,3,25CFSD SERV,SHA,112AK144A,6,0.000 EA,0.000 EA,3.000 EA,3,EA,each,A51H,DGAEPM,52D,(A) DAP 6-2-4-K,10/2/2013,"75,000.00 CAD",4B,X,DISPERSED NATIONAL STOCK,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,3/5/2021,489478,7/13/2022,Success,,,,,,,1978,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
21-8703991:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,3,25CFSD SERV,SHA,144U168B,6,0.000 EA,0.000 EA,94.000 EA,94,EA,each,C001,COMMMON,32W,(L) DLP 6-3-2-C2,10/2/2013,0.01 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/14/2021,4879156,9/14/2021,Success,,,,,,,1973,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
21-8798112:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,3,25CFSD SERV,HPA,042L181A,14,0.000 PG,0.000 PG,761.000 PG,761,PG,Package,C001,COMMMON,32W,(L) DLP 6-3-2-C2,10/3/2013,3.73 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,768176,11/21/2013,Success,,,,,,,1978,,,,,DGLEPM,,2. Pallet,1,,,,,,,
21-8960628:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,3,25CFSD SERV,SHA,128F134B,6,0.000 PD,0.000 PD,135.000 PD,72,PD,Pad,C001,COMMMON,32W,(L) DLP 6-3-2-C2,10/2/2013,0.50 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,312019,10/2/2013,Success,,,,,,,1984,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
21-8960628:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,3,25CFSD SERV,SHA,156N177D,6,0.000 PD,0.000 PD,135.000 PD,63,PD,Pad,C001,COMMMON,32W,(L) DLP 6-3-2-C2,10/2/2013,0.50 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,312001,10/2/2013,Success,,,,,,,,,,,,,,,,,,,,,,
21-8963055:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,3,25CFSD SERV,SHA,118S163B,6,0.000 PD,0.000 PD,183.000 PD,22,PD,Pad,C001,COMMMON,32W,(L) DLP 6-3-2-C2,10/2/2013,0.50 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,321456,10/2/2013,Success,,,,,,,1984,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
21-8963055:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,3,25CFSD SERV,SHA,122J162A,6,0.000 PD,0.000 PD,183.000 PD,66,PD,Pad,C001,COMMMON,32W,(L) DLP 6-3-2-C2,10/2/2013,0.50 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,321427,10/2/2013,Success,,,,,,,,,,,,,,,,,,,,,,
00-0179537:NSN,"PIN,GROOVED,HEADED",5315,Nails/Keys/Pins,Q,Q,3,25CFSD SERV,DR1,RTU-BOX,#,16.000 PG,0.000 PG,"4,073.000 PG",16,PG,Package,L31R,DGLEPM,32S,(L) DLP 3-4-C1,5/26/2022,3.20 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5218909,5/27/2022,Success,,,,,,,1984,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0179537:NSN,"PIN,GROOVED,HEADED",5315,Nails/Keys/Pins,Q,Q,3,25CFSD SERV,HPA,050B254A,13,16.000 PG,0.000 PG,"4,073.000 PG",2746,PG,Package,L31R,DGLEPM,32S,(L) DLP 3-4-C1,2/12/2015,3.20 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,2/16/2015,1731444,9/24/2020,Success,,,,,,,,,,,,,,,,,,,,,,
00-0179537:NSN,"PIN,GROOVED,HEADED",5315,Nails/Keys/Pins,Q,Q,3,25CFSD SERV,SHA,176X190A,6,16.000 PG,0.000 PG,"4,073.000 PG",1327,PG,Package,L31R,DGLEPM,32S,(L) DLP 3-4-C1,10/2/2013,3.20 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,59558,8/23/2022,Success,,,,,,,,,,,,,,,,,,,,,,
00-0190877:NSN,"LAMP,INCANDESCENT",6240,Electric Lamps,#,Not assigned,3,25CFSD SERV,DR1,RTU-FLOOR,#,45.000 EA,0.000 EA,953.000 EA,45,EA,each,L66P,DGLEPM,66G,(L) DLP 5-2-5-1,8/18/2022,0.46 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5305732,8/25/2022,Success,,,,,,,1963,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0190877:NSN,"LAMP,INCANDESCENT",6240,Electric Lamps,#,Not assigned,3,25CFSD SERV,SHA,106X120A,6,45.000 EA,0.000 EA,953.000 EA,8,EA,each,L66P,DGLEPM,66G,(L) DLP 5-2-5-1,10/22/2020,0.46 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4469685,8/31/2022,Success,,,,,,,,,,,,,,,,,,,,,,
00-0190877:NSN,"LAMP,INCANDESCENT",6240,Electric Lamps,#,Not assigned,3,25CFSD SERV,SHA,162Y119C,6,45.000 EA,0.000 EA,953.000 EA,315,EA,each,L66P,DGLEPM,66G,(L) DLP 5-2-5-1,10/22/2020,0.46 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4908558,10/12/2021,Success,,,,,,,,,,,,,,,,,,,,,,
00-0200067:NSN,O-RING,5331,O-Rings,Q,Q,3,25CFSD SERV,SHA,098R101B,6,0.000 EA,199.000 EA,494.000 EA,49,EA,each,L670,DGLEPM,35E,(L) DLP 6-3-3-3C,5/13/2021,0.23 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4718311,11/19/2021,Success,,,,,,,1976,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0200067:NSN,O-RING,5331,O-Rings,Q,Q,3,25CFSD SERV,SHA,144S173A,6,0.000 EA,199.000 EA,494.000 EA,445,EA,each,L670,DGLEPM,35E,(L) DLP 6-3-3-3C,11/9/2018,0.23 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,10/21/2021,4944226,10/21/2021,Success,,,,,,,,,,,,,,,,,,,,,,
00-0200067:NSN,O-RING,5331,O-Rings,Q,Q,3,25CFSD SERV,SHA,144S173B,6,0.000 EA,199.000 EA,494.000 EA,199,EA,each,L670,DGLEPM,35E,(L) DLP 6-3-3-3C,4/28/2016,0.23 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2317989,5/3/2016,Success,,,,,,,,,,,,,,,,,,,,,,
00-0684358:NSN,O-RING,5331,O-Rings,Q,Q,3,25CFSD SERV,SHA,132T146D,6,0.000 EA,8.000 EA,0.000 EA,8,EA,each,CA01,DGAEPM,54C,(A) DAP4/OWSM/SM,10/2/2013,0.31 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,152157,10/2/2013,Success,,,,,,,1968,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0718786:NSN,"HELMET,FLIGHT DECK CREWMAN'S",8415,Special Purpose Clot,#,Not assigned,3,25CFSD SERV,4RP,092D241B,19,0.000 EA,1.000 EA,152.000 EA,1,EA,each,L31E,DGLEPM,30T,(L) DLP 3-2-C`,10/2/2013,10.13 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,373965,10/2/2013,Success,,,,,,,1992,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0718786:NSN,"HELMET,FLIGHT DECK CREWMAN'S",8415,Special Purpose Clot,#,Not assigned,3,25CFSD SERV,SHA,106AG112A,6,0.000 EA,1.000 EA,152.000 EA,50,EA,each,L31E,DGLEPM,30T,(L) DLP 3-2-C`,2/15/2021,10.13 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4576457,4/10/2022,Success,,,,,,,,,,,,,,,,,,,,,,
00-1323281:NSN,OHMMETER,6625,Electric Prop-Measur,#,Not assigned,4,25CFSD NS,4RP,068B233A,19,0.000 EA,0.000 EA,1.000 EA,1,EA,each,C70F,DGLEPM,72A,(L) DLP 7-4-4-1,2/18/2015,500.00 CAD,1B,X,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,H,#,4261451,2/6/2020,Success,,,,,,,1973,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-1408183:NSN,"RESISTOR,DECADE",6625,Electric Prop-Measur,#,Not assigned,4,25CFSD NS,4RP,140E256A,19,0.000 EA,0.000 EA,1.000 EA,1,EA,each,C70F,DGLEPM,72A,(L) DLP 7-4-4-1,10/27/2015,"3,069.00 CAD",1N,X,BASES/STATIONS NOT TO HOLD STOCK,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,4751804,6/14/2021,Success,,,,,,,1988,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-1487279:NSN,PROGRAMMER ASSY,5865,Electronic Counterme,K,CLASSIFIED ITEM,4,25CFSD NS,4RP,080E250B,19,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A57C,DGAEPM,57E,(A) DAP 4-3-5-2-3,10/2/2013,"8,397.80 CAD",1P,X,ITEM IS CLASSIFIED,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,#,5212797,5/24/2022,Success,,,,,,,1996,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-1489395:NSN,"KIT,WEIGHING",6670,Scales/Balances,#,Not assigned,4,25CFSD NS,4RP,176J238B,19,0.000 EA,0.000 EA,1.000 EA,1,EA,each,AB06,DGAEPM,54B,(A)  DAP 2-2-5-2,4/24/2018,"5,000.00 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,4725617,5/26/2021,Success,,,,,,,1981,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-1523512:NSN,"SIGHT,BORE,OPTICAL",1240,Optical Sighting,#,Not assigned,4,25CFSD NS,4RP,092C224A,19,0.000 EA,0.000 EA,2.000 EA,2,EA,each,L31F,DGLEPM,30C,(L) DLP 3-4-C1,10/2/2013,"2,500.00 CAD",1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,G,#,504396,4/8/2022,Success,,,,,,,,,,,,,,,,,,,,,,
00-1827704:NSN,"INDICATOR,TEMPERATURE,THERMOCOUPLE",6685,Pressure/Temp/Humidi,#,Not assigned,13,25CFSD HAZMAT NS,HRA,028B076A,36,0.000 EA,0.000 EA,3.000 EA,2,EA,each,A20H,DGAEPM,56G,(A)DAP5-3-2-2-4,10/2/2013,78.65 CAD,1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,H,#,721996,10/3/2013,Success,,,,,,,1978,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0014076:NSN,"CONTROL,RADIO SET",5826,Radio Nav Eq Airborn,Q,Q,5,25CFSD Rep Res,4RP,044B268A,19,0.000 EA,0.000 EA,14.000 EA,14,EA,each,A32X,DGAEPM,52L,(A) DAP 6-2-3B,10/2/2013,"8,618.28 CAD",1X,X,SUBMIT OFFLINE BY E-MAIL TO SM,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,N,2ND LINE RMF & 3RD LINE R&O,G,#,5313488,9/6/2022,Success,,,,,,,1973,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0014077:NSN,ANTENNA,5985,Antennas/Waveguide,Q,Q,5,25CFSD Rep Res,4RP,020E201A,19,0.000 EA,0.000 EA,63.000 EA,2,EA,each,A32X,DGAEPM,52L,(A) DAP 6-2-3B,1/23/2015,510.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,3589680,11/13/2018,Success,,,,,,,1973,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0014077:NSN,ANTENNA,5985,Antennas/Waveguide,Q,Q,5,25CFSD Rep Res,4RP,068E212A,19,0.000 EA,0.000 EA,63.000 EA,57,EA,each,A32X,DGAEPM,52L,(A) DAP 6-2-3B,10/2/2013,510.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,4702,11/15/2018,Success,,,,,,,,,,,,,,,,,,,,,,
00-0014077:NSN,ANTENNA,5985,Antennas/Waveguide,Q,Q,5,25CFSD Rep Res,4RP,068E214A,19,0.000 EA,0.000 EA,63.000 EA,3,EA,each,A32X,DGAEPM,52L,(A) DAP 6-2-3B,10/2/2013,510.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,936675,4/7/2020,Success,,,,,,,,,,,,,,,,,,,,,,
00-0014077:NSN,ANTENNA,5985,Antennas/Waveguide,Q,Q,5,25CFSD Rep Res,4RP,092D241A,19,0.000 EA,0.000 EA,63.000 EA,1,EA,each,A32X,DGAEPM,52L,(A) DAP 6-2-3B,9/13/2021,510.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,4880075,9/14/2021,Success,,,,,,,,,,,,,,,,,,,,,,
00-0016662:NSN,"TEST SET,COMPUTER",6625,Electric Prop-Measur,#,Not assigned,5,25CFSD Rep Res,4RP,080B212B,19,0.000 EA,0.000 EA,3.000 EA,3,EA,each,A31S,DGAEPM,52J,(A) DAP 6-2-3A,10/2/2013,"34,701.00 CAD",1E,X,ITEM SUBJECT TO SPECIAL PROCUREMENT,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,1/15/2019,14067,10/2/2013,Success,,,,,,,1979,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0034369:NSN,"VALVE,BUTTERFLY",4810,"Valves, Powered",Q,Q,5,25CFSD Rep Res,4RP,056E258A,19,0.000 EA,0.000 EA,5.000 EA,1,EA,each,MAC2,DGAEPM,52E,(A) DAP 4/OWSM/SM,8/24/2022,"8,613.23 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,5305658,8/25/2022,Success,,,,,,,1974,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0034369:NSN,"VALVE,BUTTERFLY",4810,"Valves, Powered",Q,Q,5,25CFSD Rep Res,4RP,068E267B,19,0.000 EA,0.000 EA,5.000 EA,1,EA,each,MAC2,DGAEPM,52E,(A) DAP 4/OWSM/SM,8/9/2022,"8,613.23 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,5293018,8/11/2022,Success,,,,,,,,,,,,,,,,,,,,,,
00-0034369:NSN,"VALVE,BUTTERFLY",4810,"Valves, Powered",Q,Q,5,25CFSD Rep Res,4RP,092J203A,19,0.000 EA,0.000 EA,5.000 EA,3,EA,each,MAC2,DGAEPM,52E,(A) DAP 4/OWSM/SM,11/10/2015,"8,613.23 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,4381794,7/23/2020,Success,,,,,,,,,,,,,,,,,,,,,,
00-0055610:NSN,BELL CRANK,3040,Misc Power Trans Ep,#,Not assigned,5,25CFSD Rep Res,4RP,092C240B,19,0.000 EA,0.000 EA,4.000 EA,4,EA,each,A56B,DGAEPM,52X,(A) DAP 4-3-5-2-4,10/2/2013,"1,300.00 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,21646,10/2/2013,Success,,,,,,,1980,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0064683:NSN,CIRCUIT CARD ASSEMBLY,5998,Electric Assem/Board,Y,ELECTROSTATIC SENSITIVE ELECTRONIC ITEMS,5,25CFSD Rep Res,4RP,092M205B,19,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A57W,DGAEPM,55H,(A) DAP 4-3-5-2,10/2/2013,"1,640.00 CAD",4G,X,US DOD STOCKED - COLOG ELIGIBLE,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,23999,10/2/2013,Success,,,,,,,1984,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0011833:NSN,"SEAL,PLAIN ENCASED",5330,Packing/Gasket Mater,#,Not assigned,3,25CFSD SERV,SHA,148G117C2,6,0.000 EA,0.000 EA,3.000 EA,3,EA,each,ND01,DGMEPM,57H,(A) DAP4-3-5-2-4-5,10/2/2013,82.60 CAD,1B,X,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2657,10/2/2013,Success,,,,,,,1989,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-0011866:NSN,CIRCUIT CARD ASSEMBLY,5998,Electric Assem/Board,Y,ELECTROSTATIC SENSITIVE ELECTRONIC ITEMS,3,25CFSD SERV,SHA,134AA121D,6,0.000 EA,0.000 EA,3.000 EA,3,EA,each,A57W,DGAEPM,55H,(A) DAP 4-3-5-2,10/2/2013,"1,084.00 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,5/26/2021,2705,6/17/2014,Success,,,,,,,1984,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0012593:NSN,"CAPACITOR,FIXED,ELECTROLYTIC",5910,Capacitors,Q,Q,3,25CFSD SERV,SHA,148L136F,6,0.000 EA,0.000 EA,20.000 EA,20,EA,each,CA01,DGAEPM,57N,(A) DAP4/OWSM/SM,10/2/2013,8.80 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2753,10/2/2013,Success,,,,,,,1984,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0013031:NSN,"RESISTOR,FIXED,COMPOSITION",5905,Resistors,Q,Q,3,25CFSD SERV,SHA,152W172B,6,0.000 EA,0.000 EA,96.000 EA,96,EA,each,C470,COMMMON,49R,(P) D SVCS C 23333,10/2/2013,0.22 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2979,10/2/2013,Success,,,,,,,1981,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-0013256:NSN,"CORE,ELECTROMAGNETIC COMPONENT",5950,Coils/Transformers,#,Not assigned,3,25CFSD SERV,SHA,114L141B3,6,0.000 EA,0.000 EA,2.000 EA,2,EA,each,C484,COMMMON,48S,(P) D SVC C 2-3-5,10/2/2013,1.14 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,6/2/2021,4736608,6/2/2021,Success,,,,,,,1984,,,,,ADM(IM),,1. Shelving,0.1,,,,,,,
00-0013560:NSN,"TUBE ASSEMBLY,METAL",4710,"Pipes/Tubes, Rigid",#,Not assigned,3,25CFSD SERV,SHA,166V147D,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,L634,DGLEPM,65W,(L) DLP 4-2-3-2,10/2/2013,147.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4497,10/2/2013,Success,,,,,,,1976,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0015017:NSN,"SCREW,CAP,SOCKET HEAD",5305,Screws,#,Not assigned,3,25CFSD SERV,SHA,142B187D,6,0.000 EA,0.000 EA,28.000 EA,28,EA,each,L634,DGLEPM,65T,(L) DLP 4-2-3-2,10/2/2013,16.13 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4871876,9/9/2021,Success,,,,,,,2006,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
